class,status,representation,graph_nodes,configuration,limitations
AdaptiveAvgPool1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 2, ""REDUCE"": 2, ""BROADCAST"": 2, ""MUL"": 2, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,
AdaptiveAvgPool2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 4, ""REDUCE"": 4, ""BROADCAST"": 4, ""MUL"": 4, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,
AdaptiveAvgPool3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 8, ""REDUCE"": 8, ""BROADCAST"": 8, ""MUL"": 8, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,
AdaptiveLogSoftmaxWithLoss,gap,primitive graph / uncovered,{},,Hierarchical routing plus log-probability/NLL; logarithm missing from explicit NONLINEAR modes.
AdaptiveMaxPool1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 2, ""REDUCE"": 2, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,Max values only; argmax indices and tie-gradient semantics are not covered.
AdaptiveMaxPool2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 4, ""REDUCE"": 4, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,Max values only; argmax indices and tie-gradient semantics are not covered.
AdaptiveMaxPool3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 8, ""REDUCE"": 8, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,Max values only; argmax indices and tie-gradient semantics are not covered.
AlphaDropout,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}","eval() only, p=.3",Eval identity does not express training-time RNG or random mask sampling.
AvgPool1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 2, ""REDUCE"": 2, ""BROADCAST"": 2, ""MUL"": 2, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,
AvgPool2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 4, ""REDUCE"": 4, ""BROADCAST"": 4, ""MUL"": 4, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,
AvgPool3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 8, ""REDUCE"": 8, ""BROADCAST"": 8, ""MUL"": 8, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,
BCELoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
BCEWithLogitsLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
BatchNorm1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
BatchNorm2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
BatchNorm3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
Bilinear,equivalent,primitive graph / uncovered,"{""ROUTE"": 2, ""RESHAPE"": 2, ""PROJECT"": 2, ""MUL"": 2, ""REDUCE"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}",,
CELU,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
CTCLoss,gap,primitive graph / uncovered,{},,"Needs log-domain dynamic programming, comparisons and variable-length indexing; SCAN alone is not its body."
ChannelShuffle,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""PERMUTE"": 1}",,
CircularPad1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
CircularPad2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
CircularPad3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ConstantPad1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1, ""BROADCAST"": 1, ""ADD"": 1}","asymmetric positive padding (1,2) per axis",
ConstantPad2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1, ""BROADCAST"": 1, ""ADD"": 1}","asymmetric positive padding (1,2) per axis",
ConstantPad3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1, ""BROADCAST"": 1, ""ADD"": 1}","asymmetric positive padding (1,2) per axis",
